Manufacturer Part Number,Quantity,Customer Reference,Description,Manufacturer
ATSAMD21E18A-AFT,2,bias-control-lt8362:IC2,"TQFP-32 7x7, AEC-Q100 automotive [NOTE: Matches schematic -AF (AEC-Q100 automotive, -40 to +125C). -AFT suffix is the cu]",Microchip
MCP47FEB22A2-E/ST,2,bias-control-lt8362:IC4,"TSSOP-8 [NOTE: Dual 12-bit DAC, I2C address variant A2.]",Microchip
TSM-104-01-L-SV-P-TR,2,bias-control-lt8362:J2,"1x4 SMD vertical, 2.54mm (P-TR loose cut-tape) [NOTE: Swapped from -T-SV-TR (T&R only, can't ship qty 1) to -L-SV-P-TR (P-TR = pre-loa]",Samtec
TSW-103-07-F-D,2,bias-control-lt8362:J3,"2x3 THM vertical, 2.54mm [NOTE: Bias board J3 (SWD/Cortex Debug). The schematic symbol is 'Conn_01x06' but the 2]",Samtec
UJ20-C-V-C-3-SMT-TR,2,bias-control-lt8362:J4,SMT vertical mid-mount USB-C [NOTE: SUBSTITUTE for -V-C-2 (which is on backorder at DigiKey). Verified via datasheet],Same Sky (CUI Devices)
RMCF0603FT64K9,2,power-supply:R8,0603 1% 1/10W,Stackpole
RMCF0603FT24K9,2,power-supply:R9,0603 1% 1/10W,Stackpole
LM2776DBVR,2,power-supply:U1,SOT-23-6,Texas Instruments
TPS72301DBVR,2,power-supply:U3,SOT-23-5,Texas Instruments
TPS79333DBVR,2,power-supply:U5,SOT-23-5,Texas Instruments
SSQ-103-03-G-D,2,power-supply:J3,"2x3 socket, 2.54mm, gold, 3mm depth [NOTE: Power-supply board J3.]",Samtec
CL05A105KP5NNNC,8,tiav3_s14160:C5 C6 C7 C9,0402 10V X5R 10% [NOTE: Samsung MPN active but currently OOS at DigiKey (per Google snippet). If BOM Man],Samsung
CL31B225KBHNNNE,4,tiav3_s14160:C1 C4,1206 50V X7R 10% [NOTE: TIA BOARD ONLY (C1/C4). Low-voltage bypass — standard 50V 1206 is fine.],Samsung
GCM1555C1H620GA16J,4,tiav3_s14160:C2 C3,0402 50V C0G 2% [NOTE: Used 2% C0G — DigiKey didn't stock a 5% Murata GRM 0402/50V 62pF; tighter spec i],Murata
RMCF0402FT49R9,2,tiav3_s14160:R1,0402 1% 1/16W [NOTE: 49.9Ω (standard 50Ω term).],Stackpole
RMCF0402FT1K50,2,tiav3_s14160:R2,0402 1% 1/16W,Stackpole
RMCF0402FT68R0,2,tiav3_s14160:R3,0402 1% 1/16W,Stackpole
RMCF0402FT3R01,2,tiav3_s14160:R5,0402 1% 1/16W [NOTE: 3.01Ω chosen as closest E96 to '3.0'.],Stackpole
RMCF0402FT4K99,2,tiav3_s14160:R7,0402 1% 1/16W [NOTE: 4.99k 1%.],Stackpole
RMCF0402FT10R0,2,tiav3_s14160:R11,0402 1% 1/16W [NOTE: Hand-solder footprint takes same MPN.],Stackpole
RMCF0402FT30R1,2,tiav3_s14160:R23,0402 1% 1/16W [NOTE: 30.1Ω chosen as closest E96 to '30'.],Stackpole
LQW18AN33NJ00D,2,tiav3_s14160:L1,0603 wirewound [NOTE: High-SRF wirewound. Hand-solder footprint variant uses same MPN.],Murata
LQW18CAR33J00D,2,tiav3_s14160:L2,"0603 wirewound [NOTE: High-SRF wirewound, ~1.4 GHz SRF. Good for TIA bias-T.]",Murata
OPA847IDBVT,2,tiav3_s14160:U1,SOT-23-6,Texas Instruments
SSQ-103-01-G-D,2,tiav3_s14160:J1,"2x3 socket, 2.54mm, gold, 1mm depth [NOTE: TIA board J1.]",Samtec
131-3701-261,2,tiav3_s14160:J2,SMB jack vertical THM [NOTE: TIA board J2 RF output.],Cinch / Johnson
